-251.407,43.8014
-251.431,43.8115
-251.391,43.7699
-251.43,43.8106
-251.429,43.8098
-251.429,43.809
-251.428,43.8081
-251.427,43.8073
-251.426,43.8065
-251.425,43.8056
-251.425,43.8048
-251.424,43.804
-251.423,43.8031
-251.422,43.8023
-251.421,43.8015
-251.421,43.8007
-251.42,43.7998
-251.419,43.799
-251.418,43.7982
-251.417,43.7973
-251.417,43.7965
-251.416,43.7957
-251.415,43.7948
-251.414,43.794
-251.414,43.7932
-251.413,43.7923
-251.412,43.7915
-251.411,43.7907
-251.41,43.7898
-251.41,43.789
-251.409,43.7882
-251.408,43.7874
-251.407,43.7865
-251.406,43.7857
-251.406,43.7849
-251.405,43.784
-251.404,43.7832
-251.403,43.7824
-251.403,43.7815
-251.402,43.7807
-251.401,43.7799
-251.4,43.779
-251.399,43.7782
-251.399,43.7774
-251.398,43.7766
-251.397,43.7757
-251.396,43.7749
-251.395,43.7741
-251.395,43.7732
-251.394,43.7724
-251.393,43.7716
-251.368,43.7754
-251.407,43.7796
-251.347,43.7236
-251.406,43.7785
-251.404,43.7774
-251.403,43.7762
-251.402,43.7751
-251.401,43.774
-251.4,43.7729
-251.398,43.7718
-251.397,43.7706
-251.396,43.7695
-251.395,43.7684
-251.394,43.7673
-251.392,43.7662
-251.391,43.765
-251.39,43.7639
-251.389,43.7628
-251.388,43.7617
-251.386,43.7605
-251.385,43.7594
-251.384,43.7583
-251.383,43.7572
-251.382,43.7561
-251.38,43.7549
-251.379,43.7538
-251.378,43.7527
-251.377,43.7516
-251.376,43.7505
-251.374,43.7493
-251.373,43.7482
-251.372,43.7471
-251.371,43.746
-251.37,43.7449
-251.368,43.7437
-251.367,43.7426
-251.366,43.7415
-251.365,43.7404
-251.364,43.7393
-251.362,43.7381
-251.361,43.737
-251.36,43.7359
-251.359,43.7348
-251.358,43.7337
-251.356,43.7325
-251.355,43.7314
-251.354,43.7303
-251.353,43.7292
-251.352,43.7281
-251.35,43.7269
-251.349,43.7258
